"ParmSetID","Genotype","PlntN_Em","PlntN_Mt","relTT_Sn","RootSenFac","RUEmax","RWPC1","TbaseDev","TTtoMatr","ActO2CO2","Slow2CO2"
27,"Adapted","0.0156","0.00744","0.788","0.00156","2.67","0.787","8.59","1365","0.783","0.601"
28,"Baseline","0.0136","0.00683","0.581","0.00201","3.59","0.641","10.3","1350","0.726","0.783"
28,"Adapted","0.0136","0.00683","0.581","0.00201","3.59","0.641","10.3","1755","0.726","0.783"
29,"Baseline","0.0137","0.00781","0.832","0.00151","3.02","0.711","8.42","1020","0.706","0.652"
29,"Adapted","0.0137","0.00781","0.832","0.00151","3.02","0.711","8.42","1326","0.706","0.652"
30,"Baseline","0.0135","0.00658","0.802","0.00149","3.68","0.567","8.97","1100","0.623","0.662"
30,"Adapted","0.0135","0.00658","0.802","0.00149","3.68","0.567","8.97","1430","0.623","0.662"
31,"Baseline","0.0175","0.0068","0.615","0.0016","3.38","0.721","9.81","1360","0.731","0.788"
31,"Adapted","0.0175","0.0068","0.615","0.0016","3.38","0.721","9.81","1768","0.731","0.788"
32,"Baseline","0.0167","0.0064","0.564","0.00186","2.68","0.723","9.01","939","0.697","0.781"
32,"Adapted","0.0167","0.0064","0.564","0.00186","2.68","0.723","9.01","1220.7","0.697","0.781"
33,"Baseline","0.0152","0.00908","0.624","0.00195","3.74","0.62","10.6","1020","0.599","0.725"
33,"Adapted","0.0152","0.00908","0.624","0.00195","3.74","0.62","10.6","1326","0.599","0.725"
34,"Baseline","0.0179","0.00937","0.698","0.002","2.72","0.752","10.5","1260","0.748","0.664"
34,"Adapted","0.0179","0.00937","0.698","0.002","2.72","0.752","10.5","1638","0.748","0.664"
35,"Baseline","0.0176","0.00756","0.586","0.00151","3.11","0.824","10.1","1000","0.531","0.611"
35,"Adapted","0.0176","0.00756","0.586","0.00151","3.11","0.824","10.1","1300","0.531","0.611"
36,"Baseline","0.0169","0.00841","0.671","0.00193","2.7","0.832","8.81","1110","0.782","0.744"
36,"Adapted","0.0169","0.00841","0.671","0.00193","2.7","0.832","8.81","1443","0.782","0.744"
37,"Baseline","0.0143","0.00712","0.796","0.00153","3.76","0.785","11.4","994","0.582","0.783"
37,"Adapted","0.0143","0.00712","0.796","0.00153","3.76","0.785","11.4","1292.2","0.582","0.783"
38,"Baseline","0.0144","0.0084","0.631","0.00143","2.78","0.67","9.19","1050","0.625","0.547"
38,"Adapted","0.0144","0.0084","0.631","0.00143","2.78","0.67","9.19","1365","0.625","0.547"
39,"Baseline","0.0167","0.0066","0.713","0.00161","2.81","0.772","11.5","1170","0.576","0.613"
39,"Adapted","0.0167","0.0066","0.713","0.00161","2.81","0.772","11.5","1521","0.576","0.613"
40,"Baseline","0.0134","0.00786","0.594","0.00151","2.87","0.588","11.1","1190","0.535","0.731"
40,"Adapted","0.0134","0.00786","0.594","0.00151","2.87","0.588","11.1","1547","0.535","0.731"
41,"Baseline","0.0141","0.00773","0.755","0.00189","2.86","0.628","11","996","0.589","0.672"
41,"Adapted","0.0141","0.00773","0.755","0.00189","2.86","0.628","11","1294.8","0.589","0.672"
42,"Baseline","0.0164","0.00684","0.777","0.00206","3.14","0.759","7.83","1130","0.581","0.594"
42,"Adapted","0.0164","0.00684","0.777","0.00206","3.14","0.759","7.83","1469","0.581","0.594"
43,"Baseline","0.0137","0.00735","0.747","0.00202","3.44","0.671","9.71","1280","0.751","0.691"
43,"Adapted","0.0137","0.00735","0.747","0.00202","3.44","0.671","9.71","1664","0.751","0.691"
44,"Baseline","0.016","0.00712","0.659","0.00148","3.09","0.712","8.39","1030","0.682","0.702"
44,"Adapted","0.016","0.00712","0.659","0.00148","3.09","0.712","8.39","1339","0.682","0.702"
45,"Baseline","0.0137","0.00746","0.827","0.00172","2.68","0.829","9.14","979","0.595","0.604"
45,"Adapted","0.0137","0.00746","0.827","0.00172","2.68","0.829","9.14","1272.7","0.595","0.604"
46,"Baseline","0.014","0.00858","0.597","0.00177","3.05","0.776","7.79","970","0.608","0.759"
46,"Adapted","0.014","0.00858","0.597","0.00177","3.05","0.776","7.79","1261","0.608","0.759"
47,"Baseline","0.0131","0.00772","0.701","0.00192","3.66","0.796","8.24","1360","0.564","0.708"
47,"Adapted","0.0131","0.00772","0.701","0.00192","3.66","0.796","8.24","1768","0.564","0.708"
48,"Baseline","0.0144","0.00923","0.82","0.00164","2.76","0.807","10.7","1010","0.578","0.648"
48,"Adapted","0.0144","0.00923","0.82","0.00164","2.76","0.807","10.7","1313","0.578","0.648"
49,"Baseline","0.0143","0.00671","0.706","0.00141","3.24","0.627","8.42","1090","0.728","0.653"
49,"Adapted","0.0143","0.00671","0.706","0.00141","3.24","0.627","8.42","1417","0.728","0.653"
50,"Baseline","0.0148","0.00814","0.573","0.00156","3.52","0.661","10.1","1140","0.609","0.677"
50,"Adapted","0.0148","0.00814","0.573","0.00156","3.52","0.661","10.1","1482","0.609","0.677"
51,"Baseline","0.0162","0.00786","0.614","0.00194","3.27","0.613","9.2","1220","0.7","0.686"
51,"Adapted","0.0162","0.00786","0.614","0.00194","3.27","0.613","9.2","1586","0.7","0.686"
52,"Baseline","0.0123","0.00838","0.69","0.00188","2.87","0.565","9.32","1230","0.738","0.757"
52,"Adapted","0.0123","0.00838","0.69","0.00188","2.87","0.565","9.32","1599","0.738","0.757"
53,"Baseline","0.017","0.00828","0.823","0.00185","3.34","0.763","10.7","1320","0.68","0.735"
53,"Adapted","0.017","0.00828","0.823","0.00185","3.34","0.763","10.7","1716","0.68","0.735"
54,"Baseline","0.0162","0.00731","0.794","0.00205","3.64","0.619","8.25","1120","0.572","0.677"
